NO;BUYER;CONTRACT NO;LOT;PO NO / L/C NO;BOOKING NO;B/L NO;COMMODITY;QTY;VOL;POL;POD;INCOTERMS;PAYMENT TERM; UNIT PRICE ; AMOUNT ; DISCOUNT AMOUNT ;BANK;"NGÀY TRÌNH
BTC";"DISCOUNT DATE
NGÀY CHI?T KH?U";ETD;DHL NO;PAYMENT DATE;Updating;31-Thg12;;;;;;;;;;;
1;JK;LTC2025/PD-JK/JULY;3;4100012942;DADF07281500;AP-25EX0584;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.604,86 ; 161.769,89 ; 145.592,90 ;AGRI;;;02/08/2025;64 2774 3836;26/08/2025;;;;;;;;;;;;;
2;JK;LTC2025/PD-JK/JULY;4;4100012942;DADF07282600;AP-25EX0585;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.604,86 ; 161.769,89 ; 145.592,90 ;AGRI;;;02/08/2025;84 1236 1300;12/09/2025;;;;;;;;;;;;;
3;KOHINOOR;03/PD-KI/2025;-;LC: 0273NMLC0003926;SUDUDAGTICAA0020;KGNVS2508001;SVR10;21;1;DAD;NSA;FOB;DP; 1.675,00 ; 35.175,00 ; - ;AGRI;;;02/08/2025;31 7683 7926;27/08/2025;;;;;;;;;;;;;
4;PIX;02A/PD-PIX/2025;1;"1010000239 / 0
LC: 240LC01251910013";DADF07609900;TM225080124N;RSS3+SVR10;100,8;5;DAD;NSA;FOB;LC 30 DAYS; 1.890,00 ; 190.512,00 ; - ;VIETTIN;;;02/08/2025;17 6815 0941;03/09/2025;;;;;;;;;;;;;
5;PIX;02A/PD-PIX/2025;2;"1010000239 / 0
LC: 240LC01251910013";DADF07971400;TM225080397N;SVR10;40,32;2;DAD;NSA;FOB;LC 30 DAYS; 1.890,00 ; 76.204,80 ;;VIETTIN;;;13/08/2025;82 2356 4101;15/09/2025;;;;;;;;;;;;;
6;JK;LTC2025/PD-JK/JULY;5;4100012942;DADF07868900;AP-25EX0646;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.604,86 ; 161.769,89 ;;EXIM;;;13/08/2025;52 7133 5576;11/09/2025;;;;;;;;;;;;;
7;ZHEJIANG;01/PD-ZJ/2025;-;LC: 190995LC25000115;AVDSH835130005;AVDSH835130005;SVR3L+SBR1502;210;10;DAD;SHANGHAI;CIF;LC; 1.845,00 ; 387.450,00 ;;AGRI;;;16/08/2025;2540874954;03/09/2025;;;;;;;;;;;;;
8;TOWER GLOBAL;01/PD-TG/2025;-;-;7261744780 -> 8035147720;COAU8035147720;SVR10+SBR1502;201,6;10;DAD;QINGDAO;CIF;90% DP; 1.770,00 ; 356.832,00 ;;EXIM;;;19/08/2025;78 3561 6596;29/08/2025;;;;;;;;;;;;;
9;JK;LTC2025/PD-JK/AUG;1;4100013041;DADF07869300;AP-25EX0656;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.663,17 ; 167.647,54 ;;TP;;;21/08/2025; 57 6901 1334;12/09/2025;;;;;;;;;;;;;
10;PT ALPHEN;08/PD-AIC/2025;-;-;SITSGJTG450688;SITSGJTG450688;SVR3L;42;2;DAD;JAKARTA;CIF;TT; 1.851,00 ; 77.742,00 ;;AGRI;;;21/08/2025;48 5077 5020;28/08/2025;;;;;;;;;;;;;
11;PIX;02B/PD-PIX/2025;-;"1010000240 / 0
240LC01252170007";SUDUDAGTICAA0021;SUDUDAGTICAA0021;"1 CONT RSS3
5 CONT SVR10";120,96;6;DAD;NSA;FOB;LC 30 DAYS;; -   ;;AGR;;;21/08/2025;1573393684;23/09/2025;;;;;;;;;;;;;
12;JK;LTC2025/PD-JK/AUG;2;4100013040;041FX04044;VSE251187;SVR10;60,48;3;DAD;CHENNAI;FOB;DP; 1.663,17 ; 100.588,52 ;;TP;;;24/08/2025;98 9976 2530;15/09/2025;;;;;;;;;;;;;
13;PT. OKAMOTO;01/PD-PTO/2025;-;-;238500150712;EGLV238500150712;SVR3L;21;1;DAD;SURABAYA;CIF;TT 30 - 70; 2.000,00 ; 42.000,00 ; - ;AGRI;05/09/2025;-;26/08/2025;8468575754;04/09/2025;;;;;;;;;;;;;
14;JK;LTC2025/PD-JK/AUG;3;4100013041;041FX04045;VSE251243;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.663,17 ; 167.647,54 ; 147.529,83 ;AGRI;04/09/2025;04/09/2025;01/09/2025;6160019784;24/09/2025;;;;;;;;;;;;;
15;JK;LTC2025/PD-JK/AUG;4;4100013041;041FX04046;VSE251244;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.663,17 ; 167.647,54 ; 147.529,83 ;AGRI;05/09/2025;05/09/2025;01/09/2025;3086385875;24/09/2025;;;;;;;;;;;;;
16;MALAYA;02/PD-MIC/2025;-;-;041FX04152;041FX04152;RSS3;40,04;2;DAD;COLOMBO;FOB;TT; 1.860,00 ; 74.474,40 ; - ;AGRI;05/09/2025;-;01/09/2025;28 3210 7891;12/09/2025;;;;;;;;;;;;;
17;TOWER GLOBAL;02/PD-TG/2025;-;;AVDQD835140014;AVDQD835140014;SVR10+SBR1502;201,6;10;DAD;QINGDAO;CIF;10% TT + 90% DP; 1.780,00 ; 358.848,00 ; 284.207,62 ;AGRI;05/09/2025;05/09/2025;01/09/2025;5180214060;12/09/2025;;;;;;;;;;;;;
18;JK;LTC2025/PD-JK/AUG;6;4100013042;DADF08089500;AP-25EX0657;SVR10;60,48;3;DAD;NSA;FOB;DP; 1.663,17 ; 100.588,52 ;;AGRI;10/09/2025;-;05/09/2025;3401636722;24/09/2025;;;;;;;;;;;;;
19;SPAIN;01/PD-CE/2025;-;;SGN2865719;SGN2865719;SVR3L;100,8;5;DAD;VALENCIA;CFR;20% TT + 80% CAD --> TT; 1.965,00 ; 198.072,00 ; - ;AGRI;10/09/2025;-;05/09/2025;-;25/09/2025;;;;;;;;;;;;;
20;IE SYNERGY;01/PD-IES/2025;1;LC 1CMLC662890;AVDSH905160007;AVDSH905160007;SVR10 CV60 + SBR1502;120,96;6;DAD;SHANGHAI;CIF;TT; 1.750,00 ; 211.680,00 ; - ;AGRI;-;-;06/09/2025; 19 3305 9461;10/09/2025;;;;;;;;;;;;;
21;IE SYNERGY;01/PD-IES/2025;2;LC 1CMLC662890;AVDSH835150007 ;AVDSH835150007 ;SVR10 CV60 + SBR1502;80,64;4;DAD;SHANGHAI;CIF;TT; 1.750,00 ; 141.120,00 ; - ;AGRI;-;-;13/09/2025;29 6603 2086;12/09/2025;;;;;;;;;;;;;
22;JK;LTC2025/PD-JK/AUG;5;4100013041 ;ETHDADMAA012435;VSE251249;SVR10;100,8;5;DAD;CHENNAI;FOB;DP; 1.663,17 ; 167.647,54 ; 150.882,78 ;EXIM;23/09/2025;-;19/09/2025; 83 0499 9920;10/10/2025;;;;;;;;;;;;;
23;GRI;01/PD-GRI/2025;-;OB6094LC2509864;041FX04554;041FX04554;RSS3;40,32;2;DAD;COLOMBO;CIF;LC 90 ngày; 2.080,00 ; 83.865,60 ; 75.479,04 ;AGRI;30/09/2025;06/10/2025;27/09/2025;9385930271;26/12/2025;;;;;;;;;;;;;
24;MALAYA;03/PD-MIC/2025;-;-;041FX03852;041FX03852;Compound;100,8;5;DAD;VIZAG;FOB;TT; 1.790,00 ; 180.432,00 ; - ;AGRI;-;-;27/09/2025;8226807271;15/09/2025;;;;;;;;;;;;;
25;IE SYNERGY;02/PD-IES/2025;1;-;238500160300;EGLV238500160300;SVR10 CV60 + SBR1502;100,8;5;DAD;SHANGHAI;CIF;TT; 1.765,00 ; 177.912,00 ; - ;TP;-;-;01/10/2025;6863676175;29/09/2025;;;;;;;;;;;;;
