,,,,,,,,,,,,,,,
STT,KHÁCH HÀNG,SỐ HỢP ĐỒNG,TÊN HÀNG,PACKING,"K. LƯỢNG
 (Tấn)",GIÁ (USD),ĐK GIAO HÀNG,THỜI GIAN GIAO,NGÂN HÀNG,PAYMENT TERM,NGÀY HĐ,HOA HỒNG,STATUS,ETD,"KẾ HOẠCH 
THANH TOÁN"
1,VITRY 01.2026 - đã ship,01/PD-VME/2026,"NATURAL RUBBER RSS1
THỰC CHẤT RSS3 STANDARD","35 Kgs/Bale; 576 bales/
16 shrink wrapped plastic pallets ",20.16,1.940 USD/MT,FOB DA NANG,Jan 2026,VTB,TT100%,07.01.2026,,,,ĐÃ TT 8/1/2026
,,,,,,,,,,,,,,,
2,PT ALPHEN 01.2026,01/PD-AIC/2026,SVR3L,LOOSE BALES,42,1970,CIF JKT,JAN 2026,AGR,TT100% SCAN DOCS,09.01.2026,,,,
,,,,,,,,,,,,,,,
3,PROCHEM 01.2026 - TURKEY,01/PD-PI/2026,RSS3,"35KG/BALES
LOOSE BALES",21.00,"GIÁ CHỐT 1.980
GIÁ HĐ 2.000",FOB DA NANG,JAN 2026,AS PER CI,DP AT SIGHT,09.01.2025,20 USD/MT,,,
4,PROCHEM 01.2026 - TURKEY ( tách lot),01/PD-PI/2026,SVR3L,"35KG/BALES
SW PALLET",60.48,"GIÁ CHỐT 1.980
GIÁ HĐ 2.000",FOB DA NANG,JAN 2026,AS PER CI,DP AT SIGHT,09.01.2025,20 USD/MT,,,
Cập nhật 09.01.2026,,,,,,,,,,,,,,,
,RALSON 01.2026 - VIA BIMLA, HA20260001,TSR10,"35KG/BALES
SW PALLET",100.8,"GIÁ CHỐT 1890
GIÁ HĐ 1910",CIF NHAVA,EARLY FEB,VTB,LC AT SIGHT,19.01.2026,20 USD/MT,,,
,RALSON 02.2026 - VIA ONE CHEM, HA20260002,SVR10,"35KG./BALES
LOOSE BALES",105,"GIÁ CHỐT 1850
GIÁ HĐ 1860",FOB ĐN,EARLY FEB,BANK AS INVOICE,DP AT SIGHT,19.01.2026,10 USD/MT,,,
Cập nhật 22.01.2026,,,,,,,,,,,,,,,
,PT AYUMAS 01.2026, HA20260003,SVR3L,"LOOSE BALES
35KG/BALES",21,2020,CIF BELAWAN,EARLY FEB,AGR,"10% DEPOSIT
90% DP",22.01.2026,,,,
,,,,,,,,,,,,,,,
,PT ALPHEN 02.2026, HA20260004,SVR3L,"LOOSE BALES
35KG/BALES",42,2030,CIF JKT,FEB 2026,AGR,TT 100%,,,,,
,,,,,,,,,,,,,,,
,PT ALPHEN 03.2026, HA20260005,SVR3L,"LOOSE BALES
35KG/BALES",42,2030,CIF JKT,FEB 2026,AGR,TT 100%,,,,,
,,,,,,,,,,,,,,,
,PT ALPHEN 04.2026, HA20260006,SVR3L,"LOOSE BALES
35KG/BALES",21,2030,CIF JKT,FEB 2026,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cập nhật 23.01.2025,UKKO 01.2026, HA20260007,RSS3,"35KG/BALES SW 
with plastic pallet thick poly bag",20.16,2040,CIF KEELUNG,PROMT SHIPMENT,VTB,TT 100%,ĐÃ CK,,,,
,,,,,,,,,,,,,,,
Cập nhật 30.01.2026,PT AYUMAS 02.2026, HA20260008,SVR3L,"LOOSE BALES
35KG/BALES",21,2130,CIF JAKARTA,"EARLY FEB, 2026",AGR,"DEPOSIT 10%
TT 90%",30.01.2026,,,,
,,,,,,,,,,,,,,,
,KIMEX,HA20260009,SVR3L,"""LOOSE BALES
33.333 KG/BALES""",21,"GIÁ BÁN 2110 USD/MT
GIÁ HD 2150 USD/MT",CIFNHAVA,"FEB, 2026",VTB,"20% DP
80% DP AT SIGHT",,,,,
,,,,,,,,,,,,,,,
,VITRY 02.2026,HA20260010,SVR3L,"SW PACKING
33.333 KG/BALES","38.40
19.2MT/FCL",2115,FOB DA NANG,"FEB, 2026",VTB,"TT100% 3 DAYS 
SIGNING CONTRACT",,,,,
,,,,,,,,,,,,,,,
,PT AYUMAS 03.2026,HA20260011,SVR3L,"""LOOSE BALES
33.333 KG/BALES""",21,2130,CIF BELAWAN,"FEB, 2026",AGR,"10% DEPOSIT
90% DP",,,,,
Cập nhật 10.02.2026,,,,,,,,,,,,,,,
,VITRY 03.2026,HA20260012,SVR3L,"""SW PACKING
33.333 KG/BALES""",19.2MT/FCL,2125,FOB DA NANG,PROMPT SHIPMENT,VTB,TT100% BEFORE ETD,ĐÃ CK,,,,
,,,,,,,,,,,,,,,
Cập nhật đến 11.02.2026,GOUTAM ENTERPRISES 01.2026,HA20260013,SVR3L,"""SW PACKING
33.333 KG/BALES""",19.2,2140,FOB DA NANG,ETD 24/2,AGR,,,,,,
,,,,,,,,,,,,,,,
,GOUTAM ENTERPRISES 02.2026,HA20260014,SVR3L,"""SW PACKING
33.333 KG/BALES""",19.2,2140,FOB DA NANG,ETD 1/3,AGR,,,,,,
,,,,,,,,,,,,,,,
,GOUTAM ENTERPRISES 03.2026,HA20260015,SVR10,"LOOSE BALES
35KG/BALES",21,1960,FOB DA NANG,ETD 24/2,AGR,,,,,,
,,,,,,,,,,,,,,,
,GOUTAM ENTERPRISES 04.2026,HA20260016,SVR10,"LOOSE BALES
35KG/BALES",21,1960,FOB DA NANG,ETD 1/3,AGR,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,BRAZA TYRES,HA20260017,RSS3,"""LOOSE BALES
33.333KG / 35KG/BALES""",21,"giá chốt 2145
gia HD 2190",CIF NHAVA,PENDING,AGR,,,45 USD/MT,,,
Cập nhật 12.02.2026,,,,,,,,,,,,,,,
CANCEL LATE DEPOSIT,GOUTAM ENTERPRISES 05.2026,HA20260018,SVR3L,"""LOOSE BALES
33.333 KG/BALES""",21,2150,FOB DA NANG,1ST WEEK OF MARCH,AGR,,,,,,
,,,,,,,,,,,,,,,
CANCEL LATE DEPOSIT,GOUTAM ENTERPRISES 06.2026,HA20260019,SVR3L,"""LOOSE BALES
33.333 KG/BALES""",21,2150,FOB DA NANG,2ND WEEK OF MARCH,AGR,,,,,,
,,,,,,,,,,,,,,,
CANCEL LATE DEPOSIT,GOUTAM ENTERPRISES 07.2026,HA20260020,SVR3L,"""LOOSE BALES
33.333 KG/BALES""",21,2150,FOB DA NANG,3RD WEEK OF MARCH,AGR,,,,,,
,,,,,,,,,,,,,,,
CANCEL LATE DEPOSIT,GOUTAM ENTERPRISES 08.2026,HA20260021,SVR3L,"""LOOSE BALES
33.333 KG/BALES""",21,2150,FOB DA NANG,4TH WEEK OF MARCH,AGR,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,UKKO 02.2026,HA20260022,SVR3L,"33.333KG
WOODEN PALLETS",38.4,2230,FOB DA NANG,"MARCH, 2023",,TT100% VIA SCAN DOCS,,,,,
,,,,,,,,,,,,,,,
,"UKKO 03.2026 - SHIP CHO ADIDAS
CHÚ Ý CHẤT LƯỢNG",HA20260023,SVR3L,"33.333KG
WOODEN PALLETS",38.4,2240,CIF JKT,"MARCH, 2023",,TT100% VIA SCAN DOCS,,,,,
,,,,,,,,,,,,,,,
Cập nhật 09.03.2026,GOUTAM ENTERPRISES 09.2026,HA20260024,"SVR3L- chưa mua hàng
ĐÃ CỌC","LOOSE BALES
33.333 OR 35KG/BALES",21,2230,FOB DA NANG,"MARCH, 2023",AGR,"DEPOSIT 10%
DP 90%",,,,,
,,,,,,,,,,,,,,,
,"KARNAPHULI SHOES INDUSTRIES LTD.  
(OUTSOLE) ",HA20260025,SVR3L,"33.333KG
WOODEN PALLETS",19.2,2290,FOB DA NANG,"March, april 2026",BIDV,LC AT SIGHT,,,,,
,,,,,,,,,,,,,,,
,VITRY04.2026,HA20260026,"RSS3 
DOCS & LABEL SHOW RSS1","335KG/BALE
PLASTIC PALLET",20.16,2150,FOB DA NANG,PROMPT SHIPMENT,VTB,ADVANCE PAYMENT 100%,,,,,
,,,,,,,,,,,,,,,
Cập nhật ,,,,,,,,,,,,,,,
,UKKO 04.2026,HA20260027,SVR3L,"33.333KG
Wooden pallets
THICK POLY BAG",19.2,2245,CIF JKT,ETA 15/4,,TT100% Via scan docs,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cập nhật 16.03.2026,GOUTAM ENTERPRISES 10.2026,HA20260028,SVR3L,"LOOSE BALES
33.333 OR 35KG/BALES",21,2200,FOB DA NANG,MARCH SHIPMENT,AGR,"DDEPOSIT10%
TT 90%",,,,,
,,,,,,,,,,,,,,,
,VITRY 05.2026,HA20260029,SVR3L,"33.333KG
SW plastic pallet","115,2",2175,FOB DA NANG,MARCH SHIPMENT,VTB,ADVANCE PAYMENT 100%,,,,,
,,,,,,,,,,,,,,,
,VITRY 06.2026,HA20260030,"SVR3L + RSS3
DOCS AND LABEL RSS1","SVR3L: 33.333KG
SW plastic pallet
RSS3: 35KG/BALES
SW plastic pallet","RSS3: 20.16
SVR3L: 19.2","RSS3: 2160
SVR3L: 2175",FOB DA NANG,MARCH SHIPMENT,VTB,ADVANCE PAYMENT 100%,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cập nhật 17.03.2026,RALSON 03.2026 VIA ONCHEM,HA20260031,SVR10 RALSON SPECS,"35 KG/BALE
PALLET PACKING",100.8,"GIÁ CHỐT: 2010 USD/MT
GIÁ HD: 2030 USD/MT",FOB DA NANG,ETD BEFORE 15/4,AS PER INVOICE,DP AT SIGHT WITHIN 5 DAYS,20 USD/MT,,,,
,,,,,,,,,,,,,,,
,UKKO 05.2026,HA20260032,SVR3L,"33.333KG
Wooden pallets
THICK POLY BAG",19.2,2230,FOB  DA NANG,MARCH SHIPMENT,AS PER INVOICE,TT100% Via scan docs,,,,,
,,,,,,,,,,,,,,,
